Dropsite name,Code,Days,Number of Days,Dropsite Window,Street,City,State,Zip,Dropsite Contact,Contact Phone,Contact E-mail,,
Jackson County Library Services,JCLS,Tu&Th,2,1:00-2:00,205 S Central Ave,Medford,Oregon,97501,Natalie Arbuckle,(541) 582-6211,narbuckle@jcls.org,,
King County Library System,KCLS,M-F,5,8:30-9:30,960 Newport Way NW,Issaquah,Washington,98027,Jason Allen,(425) 369-3439,jdallen@kcls.org,,
Kitsap Regional Library,KRL,M-F,5,10:00-11:00,1301 Sylvan Way,Bremerton,Washington,98310,Sarah Desai,(360) 405-9122,sdesai@krl.org,,
Klamath Community College,KCC,Tu&Th,2,1:00-2:00,Klamath Community College;  7390 South 6th Street ,Klamath Falls,Oregon,97603,Shawnee Stacy,(541) 880-2233,stacys@klamathcc.edu,,
Lake County Library District,LAKE,Tu&F,2,1:00-2:00,26 South G St.,Lakeview,Oregon,97630,Marsha Richmond,(541) 947-6019,director@lakecountylibrary.org,,
Lane Community College,LANE,M-F,5,12:00-1:00,Center Building; 4000 E 30th Ave.,Eugene,Oregon,97405,Raymond Bailey,(541) 463-5356,baileyr@lanecc.edu,,
Lewis & Clark College (OR),LEWIS,M-F,5,9:00-10:00,Aubrey R. Watzek Library; 615 S Palatine Hill Rd.,Portland,Oregon,97219,Jenny Bornstein,(503) 768-7280,jeb@lclark.edu,,
LINCC,LINCC,M-F,5,8:30-9:30,1810 S Red Soils Ct #110 ,Oregon City,Oregon,97045,Kevin Murk,(503) 723-4828 (o)/ (971) 291-7820,kevinm@lincc.org,,
Lincoln County Library District,LCLD,M-F,5,9:15-10:15,132 NE 15th St,Newport,Oregon,97365,Bryan Miyagishima,(541) 265-3066,bryan.miyagishima@lincolncolibrarydist.org,,
Linfield University - McMinnville,LINF-MAC,M-F,5,10:00-11:00,Nicholson Library; 900 SE Baker St.,McMinnville,Oregon,97128,Bahram Refaei,(503) 883-2520,brefaei@linfield.edu,,
Linfield University - Portland,LINF-PDX,M-F,5,10:30-11:30,Library; 2900 NE 132nd Ave.,Portland,Oregon,97230,Kent Cline,(971) 369-4173,kcline@linfield.edu,,
Mt. Hood Community College,MHCC,M-F,5,11:00-12:00,Academic Center building; 2301 26000 SE Stark St. ,Gresham,Oregon,97030,Morgan Gwynn,(503) 491-7610,morgan.gwynn@mhcc.edu,,
Multnomah County Library,MCL,M-F,5,8:00-9:00,221 NE 122nd Ave,Portland,Oregon,97230,Kristopher Newburg,(503) 988-0488,illmcl@multco.us,,
North Central Washington Libraries,NCRL,M&Th,2,9:30-10:30,16 N Columbia,Wenatchee,Washington,98801,Molly Davison,(509) 663-1117 Ext 117,mdavison@ncwlibraries.org,ill@ncwlibraries.org,interlibraryloan@ncwlibraries.org
North Idaho College,NIC,M-F,5,11:30-12:30,Molstead Library; 875 W. Garden Ave.,Coeur d'Alene,Idaho,83814,Max Mihalick,(208) 769-3269,res_ill@nic.edu,,
Oregon Health & Science University,OHSU,M-F,5,8:00-9:00,Library; 3181 SW Sam Jackson Park Rd.; Mail Code: BICC,Portland,Oregon,97239,Paul Gardner,(503) 494-8693,gardnepa@ohsu.edu/circdesk@ohsu.edu,,
Oregon Institute of Technology - Klamath Falls,OIT-KFLS,M-F,5,12:00-1:00,Library; 3201 Campus Dr.,Klamath Falls,Oregon,97601,Charlotte Waite,(541) 885-1129,charlotte.waite@oit.edu,,
Oregon Institute of Technology - Portland Metro Campus,OIT-PM,M-F,5,10:30-11:30,Wilsonville Library; 27500 SW Parkway Ave.,Wilsonville,Oregon,97070,Jackie Holodak,(541) 821-1341,Jackie.Holodak@oit.edu,,
Oregon State University - Cascades,OSU-BEND,M-F,5,10:00-11:00,1500 SW Chandler Ave.,Bend,Oregon,97702,April Witteveen,(541) 706-2169,april.witteveen@osucascades.edu,,
Oregon State University - Corvallis,OSU-COR,M-F,5,10:30-11:30,121 The Valley Library/ 201 SW Waldo Pl,Corvallis,Oregon,97331,Valerie Sterling,(541) 737-7253,osu.summit@oregonstate.edu,,
Pacific Lutheran University,PLU,M-F,5,9:40-10:40,Mortvedt Library; 12180 Park Ave. So,Tacoma,Washington,98447,Cristal Splitter,(253) 535-7511,csplitter@plu.edu /  ill@plu.edu,,
Pacific University - Forest Grove,PU-FG,M-F,5,11:30-12:30,Pacific University Library; 2043 College Way,Forest Grove,Oregon,97116,Jerica Tullo,(503) 352-1413,nonellj@pacificu.edu,,
Pacific University - Hillsboro,PU-HILS,Tu&Th,2,1:00-2:00,"Hillsboro Campus Library;  222 SE 8th Ave, Ste 202",Hillsboro,Oregon,97123,Kyle Webb,(503) 352-7216,kyle.webb@pacificu.edu,,
Pierce County Library System,PCLS,M-F,5,10:00-11:00,3005 112th St. E.,Tacoma,Washington,98446,Barbara Hilderbrand,(253) 548-3389,bhilderbrand@piercecountylibrary.org,,
Portland Community College,PCC,M-F,5,11:00-12:00,Rock Creek Library; 17705 NW Springville Rd. Bdg. 9,Portland,Oregon,97229,Jenn French,(971) 722-4436,intlib@pcc.edu,,
Portland State University,PSU,M-F,5,10:30-11:30,Millar Library; 951 S.W. Hall,Portland,Oregon,97201,Rose Bosely,(503) 725-4135,bosely@pdx.edu,,
Reed College,REED,M-F,5,10:50-11:50,Library; 3203 SE Woodstock Blvd.,Portland,Oregon,97202,Brian Kelley,(503) 777-7556,bkelley@reed.edu,,
Saint Martin's University,STMU,M-F,5,12:00-1:00,O'Grady Library; 5300 Pacific Ave. SE,Lacey,Washington,98503,Jackie Gray,(360) 360-2252,Jgray@stmartin.edu,,
Seaside Public Library,SSDPL,Tu&Th,2,10:15-11:15,1131 Broadway,Seaside,Oregon,97138,Connie Word,(503) 738-6742,cword@cityofseaside.us,,
Seattle Pacific University,SPU,M-F,5,1:00-2:00,Library; 3226 Sixth West,Seattle,Washington,98119,Johanna Staman,(206) 281-2789,johanna@spu.edu,,
Seattle Public Library,SPL,M-F,5,12:30-1:30,1000 4th Ave.,Seattle,Washington,98104,Monica Sweet,(206) 386-4601,ill@spl.org,,
Seattle University,SEAU,M-F,5,12:30-1:30,Lemieux Library; 901 12th Ave.,Seattle,Washington,98122,Aaron Morgan,(206) 296-6235,morgana@seattleu.edu,,
Sno-Isle Libraries,SIL,M-F,5,11:00-12:00,7312 35th Ave NE,Marysville,Washington,98271,Carolyn Bly,(360) 651-7070,cbly@sno-isle.org,,
Southern Oregon University,SOU,M-F,5,11:30-12:30,Circulation Area Workroom; 1290 Ashland St.,Ashland,Oregon,97520,Emma Keller-Faatz,(541) 552-6823,kellerfaatzemma@sou.edu,,
Spokane County Library District ,SCLD,Tu&Th,5,8:30-9:30,4322 N Argonne Rd. ,Spokane,Washington,99212,Lori Shotwell,(509) 893-8230,lshotwell@scld.org,,
Spokane Public Library,SPOKPL,M-F,5,1:45-2:45,906 W Main Ave,Spokane,Washington,99201,Heather Clarke,(509) 444-5417,hclarke@spokanelibrary.org,,
State Library of Oregon,OSL,M-F,5,10:30-11:30,250 Winter Street NE,Salem,Oregon,97301,Sara Belousek,(503) 602-0932,sara.belousek@slo.oregon.gov,,
Tacoma Public Library,TPL,M-F,5,8:30-9:30,1102 Tacoma Avenue South,Tacoma,Washington,98402,Lesley Caldwell,(253) 280-2869,ill@tacomalibrary.org/LCaldwell@tacomalibrary.org,,
The Dalles-Wasco County Library,TDWCL,M-F,5,10:30-11:30,722 Court St.,The Dalles,Oregon,97058,Julie Middleton,(541) 296-2815,jmiddleton@thedalles.gov,,
The Evergreen State College,TESC,M-F,5,11:00-12:00,Library - Room 1321; 2700 Evergreen Parkway NW,Olympia,Washington,98505,Jason Mock,(360) 867-6581,MockJ@evergreen.edu,,
Tillamook County Library,TCL,M&Th,2,8:00-9:00,1716 Third St,Tillamook,Oregon,97141,Lissa Glidewell,(503) 842-4792 x1756,tcl-ill@tillamookcounty.gov / lissa.glidewell@tillamookcounty.gov,,
Timberland Regional Library,TRL,M-F,5,11:00-12:00,415 Tumwater Blvd. SW,Tumwater,Washington,98501,Rebekka Saelid,(360) 704-4524,rasaelid@trl.org/ ILL@trl.org,,
University of Idaho,UI,M-F,5,12:00-1:00,850 S. Rayburn Street,Moscow,Idaho,83844,Victoria Kerr,(208) 885-0991,victoriakerr@uidaho.edu/libcirc@uidaho.edu,,
University of Oregon - Eugene,UO-EUG,M-F,5,9:30-10:30,Knight Library; 1501 Kincaid St (1299 Univ of Oregon),Eugene,Oregon,97403,Kristin Walker,(541) 346-1938,kbwa@uoregon.edu,,
University of Oregon - Portland,UO-PDX,M-F,5,8:30-9:30,2800 NE Liberty St - Library,Portland,Oregon,97211,Michael Brown,(503) 412-3673,brownm@uoregon.edu,,
University of Portland,UPORT,M-F,5,10:30-11:30,WW Clark Memorial Library; 5000 N. Willamette Blvd.,Portland,Oregon,97203,Sarah Boser,(503) 943-7611,boser@up.edu,,
University of Puget Sound,UPUGS,M-F,5,8:00-9:00,Collins Memorial Library; 1500 North Warner #1021,Tacoma,Washington,98416,Jada Pelger,(253) 879-3287,jpelger@pugetsound.edu,,
University of Washington,UW,M-F,5,12:00-1:00,Suzzallo/Allen Library;  85 Allen; Library Loading Dock,Seattle,Washington,98195,Bota Bota,(206) 543-1878,cbota@uw.edu,,
Walla Walla University,WALLA,M-F,5,9:15-10:15,Peterson Memorial Library; 104 S College Ave.,College Place,Washington,99324,Renee Corbett,(509) 527-2673,ill@wallawalla.edu,,
Warner Pacific University,WPU,M-F,5,12:00-1:00,Otto F. Linn Library; 2219 S.E. 68th Ave.,Portland,Oregon,97215,Jeff Barnhardt,(503) 517-1037,jbarnhardt@warnerpacific.edu,,
Warrenton Community Library,WCL,Tu&Th,2,10:30-11:30,160 S Main Ave.,Warrenton,Oregon,97146,Cassandra Williams,(503) 861-8156,cwilliams@warrentonoregon.us,,
"Washington State University  - Tri-Cities, Richland",WSU-TRI,M-F,5,11:00-12:00,Library; 2770 University Dr.,Richland,Washington,99352,Steve Bisch,(509) 372-7303 (AM) (509) 372-7313 (PM),sbisch@wsu.edu,,
Washington State University  - Vancouver,WSU-VAN,M-F,5,11:00-12:00,Library; 14204 NE Salmon Creek Ave.,Vancouver,Washington,98686,Dena Madrid,(360) 546-9685,dena.madrid@wsu.edu,,
Washington State University - Pullman,WSU-PUL,M-F,5,11:00-12:00,140 Holland,Pullman,Washington,99164,Amy Thielen,(509) 335-9675,amy.thielen@wsu.edu,,
Washington State University - Spokane,WSU-SPOK,M-F,5,9:30-10:30,600 N. Riverpoint Blvd. - SAC Room 211,Spokane,Washington,99202,Sage Workman,(509) 358-6992,Sage.Workman@wsu.edu,,
WCCLS,WCCLS,M-F,5,11:00-12:00,2350 NE Griffin Oaks St. Ste. C700,Hillsboro,Oregon,97124,Cassie Franks,(503) 846-3219,loan@wccls.org,,
Western Oregon University,WOU,M-F,5,11:00-12:00,Hamersly Library; 345 N. Monmouth Ave.,Monmouth,Oregon,97361,Ellie Baker,(503) 838-8884,nalivaikoe@mail.wou.edu,,
Western Washington University,WWU,M-F,5,11:30-12:30,Wilson Library; 516 High Street - Haggard Hall,Bellingham,Washington,98225,Jesse Thomas,(360) 650-4096,thoma72@wwu.edu,,
Whatcom County Library System (WCLS),WHTCLS,M-F,5,10:00-11:00,5205 Northwest Drive,Bellingham,Washington,98226,Lisa Gresham,(360) 305-3604,Lisa.gresham@wcls.org,,
Whitman College,WHITC,M-F,5,9:30-10:30,Penrose Library; 345 Boyer Ave.,Walla Walla,Washington,99362,Ari Kirby,(509) 527-5914,kirbyk@whitman.edu,,
Whitworth University,WWORTH,M-F,5,11:30-12:30,HC Cowles Memorial Library; 300 W Hawthorne Rd.,Spokane,Washington,99251,Alex Fergus,(509) 777-3767,afergus@whitworth.edu,,
Willamette University,WILL,M-F,5,9:00-10:00,Mark O. Hatfield Library; 900 State St.,Salem,Oregon,97301,Charity Braceros-Simon,(503) 370-6673,cbracerossimon@willamette.edu,,
Willamette University - Pacific Northwest College of Art,PCNA,M-F,5,12:00-1:00,Albert Solheim Library; 511 NW Broadway,Portland,Oregon,97209,Taylor Kaplan,(503) 821-8966,tkaplan@willamette.edu,,
Yakima Valley Libraries,YVL,Tu&Th,2,11:00-12:00,102 N 3rd St,Yakima,Washington,98901,Julie Graham,(509) 575-3413,jgraham@yvl.org,,
